Store,DayOfWeekNumber,DayOfWeekName,SaleDate,Sales,Customers,Open,Promo,StateHoliday,SchoolHoliday,StoreType,Assortment,HasCompetition,CompetitionDistance,CompetitionCategory,CompetitionOpenDate,StorePromo,PromoSinceWeek,PromoSinceYear,PromoInterval
17,2,Tue,15/07/14,8993,1068,Yes,Yes,No,No,A,Basic,Yes,50,Far,01/12/05,Yes,26,2010,"Jan,Apr,Jul,Oct"
17,6,Sat,04/07/15,2592,320,Yes,No,No,No,A,Basic,Yes,50,Far,01/12/05,Yes,26,2010,"Jan,Apr,Jul,Oct"
17,1,Mon,14/05/26,4708,716,Yes,No,No,No,A,Basic,Yes,50,Far,01/12/05,Yes,26,2010,"Jan,Apr,Jul,Oct"
17,5,Fri,15/03/27,5092,659,Yes,No,No,No,A,Basic,Yes,50,Far,01/12/05,Yes,26,2010,"Jan,Apr,Jul,Oct"
18,6,Sat,29/11/14,5953,608,Yes,No,No,No,D,Extended,Yes,13840,Medium,01/06/10,Yes,14,2012,"Jan,Apr,Jul,Oct"
18,6,Sat,14/03/15,4597,478,Yes,No,No,No,D,Extended,Yes,13840,Medium,01/06/10,Yes,14,2012,"Jan,Apr,Jul,Oct"
18,2,Tue,17/03/15,7714,814,Yes,Yes,No,No,D,Extended,Yes,13840,Far,01/06/10,Yes,14,2012,"Jan,Apr,Jul,Oct"
20,5,Fri,03/05/13,8505,848,Yes,Yes,No,No,D,Basic,Yes,2340,Far,01/05/09,Yes,40,2014,"Jan,Apr,Jul,Oct"
20,4,Thu,13/06/20,8086,971,Yes,Yes,No,No,D,Basic,Yes,2340,Medium,01/05/09,Yes,40,2014,"Jan,Apr,Jul,Oct"
21,1,Mon,07/01/13,9580,754,Yes,Yes,No,No,C,Extended,Yes,550,Far,01/10/99,Yes,45,2009,"Jan,Apr,Jul,Oct"
21,3,Wed,26/03/14,3019,353,Yes,No,No,No,C,Extended,Yes,550,Far,01/10/99,Yes,45,2009,"Jan,Apr,Jul,Oct"
21,3,Wed,13/03/27,7370,692,Yes,Yes,No,Yes,C,Extended,Yes,550,Far,01/10/99,Yes,45,2009,"Jan,Apr,Jul,Oct"
24,5,Fri,04/01/13,8419,813,Yes,No,No,Yes,A,Extended,Yes,4590,Far,01/03/00,Yes,40,2011,"Jan,Apr,Jul,Oct"
24,4,Thu,05/02/13,11799,1050,Yes,Yes,No,No,A,Extended,Yes,4590,Medium,01/03/00,Yes,40,2011,"Jan,Apr,Jul,Oct"
24,6,Sat,18/05/13,7358,730,Yes,No,No,No,A,Extended,Yes,4590,Far,01/03/00,Yes,40,2011,"Jan,Apr,Jul,Oct"
24,1,Mon,20/01/14,13643,1034,Yes,Yes,No,No,A,Extended,Yes,4590,Far,01/03/00,Yes,40,2011,"Jan,Apr,Jul,Oct"
24,2,Tue,30/09/14,16957,1258,Yes,Yes,No,No,A,Extended,Yes,4590,Far,01/03/00,Yes,40,2011,"Jan,Apr,Jul,Oct"
24,5,Fri,07/11/14,7930,744,Yes,No,No,Yes,A,Extended,Yes,4590,Far,01/03/00,Yes,40,2011,"Jan,Apr,Jul,Oct"
24,2,Tue,03/02/15,11866,984,Yes,Yes,No,No,A,Extended,Yes,4590,Far,01/03/00,Yes,40,2011,"Jan,Apr,Jul,Oct"
27,2,Tue,02/12/13,7192,965,Yes,No,No,No,A,Basic,Yes,60,Far,01/01/05,Yes,5,2011,"Jan,Apr,Jul,Oct"
28,4,Thu,13/08/08,4852,604,Yes,No,No,Yes,A,Basic,Yes,1200,Far,01/10/14,Yes,6,2015,"Mar,Jun,Sept,Dec"
28,3,Wed,13/03/13,4037,501,Yes,No,No,No,A,Basic,Yes,1200,Far,01/10/14,Yes,6,2015,"Mar,Jun,Sept,Dec"
28,4,Thu,25/04/13,5446,598,Yes,Yes,No,No,A,Basic,Yes,1200,Far,01/10/14,Yes,6,2015,"Mar,Jun,Sept,Dec"
28,5,Fri,18/10/13,4392,547,Yes,No,No,No,A,Basic,Yes,1200,Medium,01/10/14,Yes,6,2015,"Mar,Jun,Sept,Dec"
28,4,Thu,13/11/14,4567,529,Yes,Yes,No,No,A,Basic,Yes,1200,Medium,01/10/14,Yes,6,2015,"Mar,Jun,Sept,Dec"
28,5,Fri,13/02/15,5101,573,Yes,No,No,Yes,A,Basic,Yes,1200,Far,01/10/14,Yes,6,2015,"Mar,Jun,Sept,Dec"
30,6,Sat,15/01/17,4375,706,Yes,No,No,No,A,Basic,Yes,40,Medium,01/02/14,Yes,10,2014,"Mar,Jun,Sept,Dec"
30,3,Wed,14/06/25,3153,523,Yes,No,No,No,A,Basic,Yes,40,Medium,01/02/14,Yes,10,2014,"Mar,Jun,Sept,Dec"
36,4,Thu,16/05/13,9739,1181,Yes,Yes,No,No,A,Extended,Yes,540,Far,01/06/03,Yes,40,2014,"Jan,Apr,Jul,Oct"
36,3,Wed,20/11/13,8449,1033,Yes,Yes,No,No,A,Extended,Yes,540,Medium,01/06/03,Yes,40,2014,"Jan,Apr,Jul,Oct"
36,2,Tue,04/07/15,10316,1139,Yes,No,No,Yes,A,Extended,Yes,540,Medium,01/06/03,Yes,40,2014,"Jan,Apr,Jul,Oct"
39,3,Wed,13/03/13,3397,519,Yes,No,No,No,A,Basic,Yes,260,Far,01/10/06,Yes,31,2013,"Feb,May,Aug,Nov"
39,5,Fri,17/05/13,4530,630,Yes,Yes,No,No,A,Basic,Yes,260,Far,01/10/06,Yes,31,2013,"Feb,May,Aug,Nov"
39,1,Mon,31/03/14,9103,1002,Yes,Yes,No,No,A,Basic,Yes,260,Far,01/10/06,Yes,31,2013,"Feb,May,Aug,Nov"
39,4,Thu,13/04/18,3026,485,Yes,No,No,No,A,Basic,Yes,260,Medium,01/10/06,Yes,31,2013,"Feb,May,Aug,Nov"
46,3,Wed,27/11/13,3571,562,Yes,No,No,No,C,Basic,Yes,1200,Medium,01/09/05,Yes,14,2011,"Jan,Apr,Jul,Oct"
47,2,Tue,22/01/13,7282,935,Yes,Yes,No,No,A,Extended,Yes,270,Far,01/04/13,Yes,14,2013,"Jan,Apr,Jul,Oct"
47,4,Thu,14/02/13,5656,894,Yes,No,No,No,A,Extended,Yes,270,Medium,01/04/13,Yes,14,2013,"Jan,Apr,Jul,Oct"
47,2,Tue,30/07/13,9246,1078,Yes,Yes,No,Yes,A,Extended,Yes,270,Medium,01/04/13,Yes,14,2013,"Jan,Apr,Jul,Oct"
47,5,Fri,28/03/14,5932,799,Yes,No,No,No,A,Extended,Yes,270,Far,01/04/13,Yes,14,2013,"Jan,Apr,Jul,Oct"
47,6,Sat,25/10/14,5399,721,Yes,No,No,No,A,Extended,Yes,270,Far,01/04/13,Yes,14,2013,"Jan,Apr,Jul,Oct"
51,5,Fri,23/05/14,8414,567,Yes,Yes,No,No,A,Extended,Yes,10570,Far,01/07/13,Yes,9,2011,"Jan,Apr,Jul,Oct"
51,1,Mon,20/07/15,7202,500,Yes,No,No,No,A,Extended,Yes,10570,Far,01/07/13,Yes,9,2011,"Jan,Apr,Jul,Oct"
51,1,Mon,13/07/29,8335,576,Yes,Yes,No,No,A,Extended,Yes,10570,Far,01/07/13,Yes,9,2011,"Jan,Apr,Jul,Oct"
52,6,Sat,16/11/13,8371,566,Yes,No,No,No,D,Extended,Yes,450,Far,01/04/14,Yes,39,2010,"Jan,Apr,Jul,Oct"
52,5,Fri,20/02/15,7045,466,Yes,Yes,No,Yes,D,Extended,Yes,450,Far,01/04/14,Yes,39,2010,"Jan,Apr,Jul,Oct"
54,5,Fri,04/04/14,9483,826,Yes,Yes,No,No,D,Extended,Yes,7170,Far,01/08/14,Yes,5,2013,"Feb,May,Aug,Nov"
54,3,Wed,22/07/15,5212,511,Yes,No,No,Yes,D,Extended,Yes,7170,Far,01/08/14,Yes,5,2013,"Feb,May,Aug,Nov"
56,5,Fri,05/03/13,8425,628,Yes,Yes,No,No,D,Extended,Yes,6620,Far,01/03/12,Yes,10,2014,"Mar,Jun,Sept,Dec"
56,3,Wed,11/12/13,5750,379,Yes,No,No,No,D,Extended,Yes,6620,Far,01/03/12,Yes,10,2014,"Mar,Jun,Sept,Dec"
56,4,Thu,30/01/14,5077,367,Yes,No,No,No,D,Extended,Yes,6620,Far,01/03/12,Yes,10,2014,"Mar,Jun,Sept,Dec"
58,4,Thu,26/03/15,5540,499,Yes,No,No,No,A,Extended,Yes,7340,Far,01/05/08,Yes,27,2012,"Jan,Apr,Jul,Oct"
58,4,Thu,13/06/20,6020,491,Yes,Yes,No,No,A,Extended,Yes,7340,Far,01/05/08,Yes,27,2012,"Jan,Apr,Jul,Oct"
59,3,Wed,04/10/13,6171,602,Yes,Yes,No,No,A,Extended,Yes,2840,Far,01/06/07,Yes,14,2011,"Jan,Apr,Jul,Oct"
59,4,Thu,24/10/13,5653,575,Yes,Yes,No,Yes,A,Extended,Yes,2840,Far,01/06/07,Yes,14,2011,"Jan,Apr,Jul,Oct"
59,5,Fri,14/02/14,5818,617,Yes,No,No,No,A,Extended,Yes,2840,Far,01/06/07,Yes,14,2011,"Jan,Apr,Jul,Oct"
59,3,Wed,18/06/14,6488,629,Yes,Yes,No,No,A,Extended,Yes,2840,Far,01/06/07,Yes,14,2011,"Jan,Apr,Jul,Oct"
59,6,Sat,13/09/14,2558,287,Yes,No,No,No,A,Extended,Yes,2840,Far,01/06/07,Yes,14,2011,"Jan,Apr,Jul,Oct"
63,1,Mon,12/01/14,12065,917,Yes,Yes,No,No,C,Extended,Yes,3700,Far,01/06/10,Yes,18,2010,"Feb,May,Aug,Nov"
63,5,Fri,04/10/15,5755,589,Yes,No,No,Yes,C,Extended,Yes,3700,Far,01/06/10,Yes,18,2010,"Feb,May,Aug,Nov"
71,2,Tue,14/05/13,10767,853,Yes,Yes,No,No,A,Basic,Yes,17500,Medium,01/08/08,Yes,37,2009,"Mar,Jun,Sept,Dec"
71,5,Fri,07/03/15,10501,800,Yes,Yes,No,Yes,A,Basic,Yes,17500,Far,01/08/08,Yes,37,2009,"Mar,Jun,Sept,Dec"
72,3,Wed,06/11/14,3905,454,Yes,No,No,Yes,A,Basic,Yes,2200,Far,01/12/09,Yes,13,2010,"Jan,Apr,Jul,Oct"
77,6,Sat,23/03/13,8143,699,Yes,No,No,No,D,Extended,Yes,1090,Far,01/08/09,Yes,10,2014,"Jan,Apr,Jul,Oct"
77,5,Fri,16/08/13,7608,682,Yes,Yes,No,Yes,D,Extended,Yes,1090,Far,01/08/09,Yes,10,2014,"Jan,Apr,Jul,Oct"
77,6,Sat,12/06/14,8548,726,Yes,No,No,No,D,Extended,Yes,1090,Medium,01/08/09,Yes,10,2014,"Jan,Apr,Jul,Oct"
77,4,Thu,26/06/14,5396,520,Yes,No,No,No,D,Extended,Yes,1090,Far,01/08/09,Yes,10,2014,"Jan,Apr,Jul,Oct"
77,1,Mon,23/03/15,6645,613,Yes,No,No,No,D,Extended,Yes,1090,Far,01/08/09,Yes,10,2014,"Jan,Apr,Jul,Oct"
77,3,Wed,03/06/15,10288,820,Yes,Yes,No,No,D,Extended,Yes,1090,Far,01/08/09,Yes,10,2014,"Jan,Apr,Jul,Oct"
77,3,Wed,15/06/17,7647,611,Yes,Yes,No,No,D,Extended,Yes,1090,Far,01/08/09,Yes,10,2014,"Jan,Apr,Jul,Oct"
78,1,Mon,03/11/14,5776,663,Yes,Yes,No,No,A,Basic,Yes,3510,Far,01/11/06,Yes,5,2013,"Feb,May,Aug,Nov"
78,5,Fri,15/03/20,4474,560,Yes,Yes,No,No,A,Basic,Yes,3510,Far,01/11/06,Yes,5,2013,"Feb,May,Aug,Nov"
78,4,Thu,13/02/28,3516,471,Yes,No,No,No,A,Basic,Yes,3510,Far,01/11/06,Yes,5,2013,"Feb,May,Aug,Nov"
81,2,Tue,12/02/13,3730,337,Yes,No,No,Yes,A,Basic,Yes,2370,Far,01/03/11,Yes,40,2014,"Jan,Apr,Jul,Oct"
81,2,Tue,19/03/13,6494,547,Yes,Yes,No,No,A,Basic,Yes,2370,Medium,01/03/11,Yes,40,2014,"Jan,Apr,Jul,Oct"
81,1,Mon,29/06/15,10348,674,Yes,Yes,No,No,A,Basic,Yes,2370,Medium,01/03/11,Yes,40,2014,"Jan,Apr,Jul,Oct"
82,6,Sat,20/04/13,4985,473,Yes,No,No,No,A,Basic,Yes,22390,Medium,01/04/08,Yes,37,2009,"Jan,Apr,Jul,Oct"
82,5,Fri,05/07/13,10619,1003,Yes,Yes,No,No,A,Basic,Yes,22390,Far,01/04/08,Yes,37,2009,"Jan,Apr,Jul,Oct"
82,5,Fri,07/02/14,10282,1044,Yes,Yes,No,No,A,Basic,Yes,22390,Far,01/04/08,Yes,37,2009,"Jan,Apr,Jul,Oct"
82,6,Sat,22/02/14,5591,540,Yes,No,No,No,A,Basic,Yes,22390,Medium,01/04/08,Yes,37,2009,"Jan,Apr,Jul,Oct"
82,4,Thu,20/03/14,8916,861,Yes,Yes,No,No,A,Basic,Yes,22390,Far,01/04/08,Yes,37,2009,"Jan,Apr,Jul,Oct"
82,5,Fri,14/11/14,10917,979,Yes,Yes,No,No,A,Basic,Yes,22390,Far,01/04/08,Yes,37,2009,"Jan,Apr,Jul,Oct"
82,3,Wed,17/12/14,15440,1248,Yes,Yes,No,No,A,Basic,Yes,22390,Far,01/04/08,Yes,37,2009,"Jan,Apr,Jul,Oct"
82,4,Thu,13/08/15,9597,899,Yes,Yes,No,Yes,A,Basic,Yes,22390,Far,01/04/08,Yes,37,2009,"Jan,Apr,Jul,Oct"
86,3,Wed,20/03/13,3543,470,Yes,Yes,No,No,A,Basic,Yes,480,Far,01/02/05,Yes,31,2013,"Jan,Apr,Jul,Oct"
86,6,Sat,09/11/13,4864,693,Yes,No,No,No,A,Basic,Yes,480,Far,01/02/05,Yes,31,2013,"Jan,Apr,Jul,Oct"
86,3,Wed,18/12/13,7987,883,Yes,Yes,No,No,A,Basic,Yes,480,Far,01/02/05,Yes,31,2013,"Jan,Apr,Jul,Oct"
86,6,Sat,26/04/14,4061,529,Yes,No,No,No,A,Basic,Yes,480,Medium,01/02/05,Yes,31,2013,"Jan,Apr,Jul,Oct"
86,6,Sat,11/08/14,4123,560,Yes,No,No,No,A,Basic,Yes,480,Medium,01/02/05,Yes,31,2013,"Jan,Apr,Jul,Oct"
86,3,Wed,04/09/14,3845,565,Yes,No,No,No,A,Basic,Yes,480,Far,01/02/05,Yes,31,2013,"Jan,Apr,Jul,Oct"
86,4,Thu,15/03/26,4125,525,Yes,No,No,No,A,Basic,Yes,480,Medium,01/02/05,Yes,31,2013,"Jan,Apr,Jul,Oct"
89,2,Tue,13/09/10,6370,629,Yes,Yes,No,Yes,A,Basic,Yes,2380,Medium,01/07/04,Yes,40,2014,"Jan,Apr,Jul,Oct"
89,1,Mon,08/04/13,7867,768,Yes,Yes,No,No,A,Basic,Yes,2380,Medium,01/07/04,Yes,40,2014,"Jan,Apr,Jul,Oct"
89,1,Mon,11/11/13,5827,669,Yes,No,No,No,A,Basic,Yes,2380,Medium,01/07/04,Yes,40,2014,"Jan,Apr,Jul,Oct"
89,2,Tue,02/03/15,6755,694,Yes,Yes,No,No,A,Basic,Yes,2380,Far,01/07/04,Yes,40,2014,"Jan,Apr,Jul,Oct"
89,1,Mon,15/03/16,8783,802,Yes,Yes,No,No,A,Basic,Yes,2380,Far,01/07/04,Yes,40,2014,"Jan,Apr,Jul,Oct"
96,2,Tue,13/11/12,4201,537,Yes,No,No,No,A,Basic,Yes,8780,Far,01/02/05,Yes,37,2009,"Jan,Apr,Jul,Oct"
96,3,Wed,04/12/13,8614,753,Yes,Yes,No,No,A,Basic,Yes,8780,Far,01/02/05,Yes,37,2009,"Jan,Apr,Jul,Oct"
96,5,Fri,14/09/19,5302,561,Yes,Yes,No,No,A,Basic,Yes,8780,Far,01/02/05,Yes,37,2009,"Jan,Apr,Jul,Oct"
96,3,Wed,13/10/23,5613,604,Yes,Yes,No,Yes,A,Basic,Yes,8780,Medium,01/02/05,Yes,37,2009,"Jan,Apr,Jul,Oct"
99,4,Thu,13/01/17,1889,206,Yes,No,No,No,C,Extended,Yes,2030,Far,01/11/03,Yes,22,2012,"Mar,Jun,Sept,Dec"
102,4,Thu,24/01/13,7924,1098,Yes,Yes,No,No,A,Basic,Yes,150,Far,01/12/07,Yes,10,2014,"Mar,Jun,Sept,Dec"
102,5,Fri,20/06/14,11371,1473,Yes,Yes,No,No,A,Basic,Yes,150,Far,01/12/07,Yes,10,2014,"Mar,Jun,Sept,Dec"
115,1,Mon,29/07/13,8770,622,Yes,Yes,No,No,D,Extended,Yes,5740,Medium,01/04/07,Yes,40,2014,"Jan,Apr,Jul,Oct"
115,1,Mon,23/02/15,6100,465,Yes,No,No,No,D,Extended,Yes,5740,Far,01/04/07,Yes,40,2014,"Jan,Apr,Jul,Oct"
120,3,Wed,15/05/13,7088,693,Yes,No,No,No,D,Basic,Yes,2290,Far,01/12/14,Yes,37,2009,"Jan,Apr,Jul,Oct"
120,2,Tue,22/10/13,6263,589,Yes,Yes,No,Yes,D,Basic,Yes,2290,Far,01/12/14,Yes,37,2009,"Jan,Apr,Jul,Oct"
120,5,Fri,01/11/13,6638,638,Yes,No,No,No,D,Basic,Yes,2290,Far,01/12/14,Yes,37,2009,"Jan,Apr,Jul,Oct"
120,3,Wed,26/03/14,4887,518,Yes,No,No,No,D,Basic,Yes,2290,Far,01/12/14,Yes,37,2009,"Jan,Apr,Jul,Oct"
120,4,Thu,02/05/15,7756,636,Yes,Yes,No,No,D,Basic,Yes,2290,Far,01/12/14,Yes,37,2009,"Jan,Apr,Jul,Oct"
121,3,Wed,04/03/15,5434,535,Yes,Yes,No,No,A,Basic,Yes,3570,Far,01/11/09,Yes,36,2013,"Mar,Jun,Sept,Dec"
121,6,Sat,13/06/29,2238,239,Yes,No,No,No,A,Basic,Yes,3570,Medium,01/11/09,Yes,36,2013,"Mar,Jun,Sept,Dec"
126,4,Thu,29/08/13,14504,583,Yes,Yes,No,Yes,D,Basic,Yes,3370,Far,01/10/14,Yes,18,2011,"Feb,May,Aug,Nov"
126,5,Fri,06/12/13,6665,626,Yes,Yes,No,No,D,Basic,Yes,3370,Far,01/10/14,Yes,18,2011,"Feb,May,Aug,Nov"
126,5,Fri,21/02/14,6710,588,Yes,Yes,No,No,D,Basic,Yes,3370,Medium,01/10/14,Yes,18,2011,"Feb,May,Aug,Nov"
126,5,Fri,01/08/14,6876,610,Yes,Yes,No,Yes,D,Basic,Yes,3370,Far,01/10/14,Yes,18,2011,"Feb,May,Aug,Nov"
126,1,Mon,08/12/14,4517,448,Yes,No,No,No,D,Basic,Yes,3370,Far,01/10/14,Yes,18,2011,"Feb,May,Aug,Nov"
126,6,Sat,14/03/15,4471,449,Yes,No,No,No,D,Basic,Yes,3370,Far,01/10/14,Yes,18,2011,"Feb,May,Aug,Nov"
126,6,Sat,11/04/15,4587,440,Yes,No,No,No,D,Basic,Yes,3370,Far,01/10/14,Yes,18,2011,"Feb,May,Aug,Nov"
126,1,Mon,08/06/15,5201,473,Yes,No,No,No,D,Basic,Yes,3370,Medium,01/10/14,Yes,18,2011,"Feb,May,Aug,Nov"
127,3,Wed,29/01/14,3366,447,Yes,No,No,No,D,Basic,Yes,1350,Medium,01/12/05,Yes,13,2010,"Jan,Apr,Jul,Oct"
127,1,Mon,10/02/14,4080,566,Yes,No,No,No,D,Basic,Yes,1350,Medium,01/12/05,Yes,13,2010,"Jan,Apr,Jul,Oct"
127,1,Mon,26/01/15,6652,755,Yes,Yes,No,No,D,Basic,Yes,1350,Far,01/12/05,Yes,13,2010,"Jan,Apr,Jul,Oct"
127,6,Sat,11/07/15,4841,711,Yes,No,No,No,D,Basic,Yes,1350,Medium,01/12/05,Yes,13,2010,"Jan,Apr,Jul,Oct"
133,6,Sat,06/07/13,4068,441,Yes,No,No,No,A,Basic,Yes,270,Medium,01/08/13,Yes,10,2014,"Mar,Jun,Sept,Dec"
133,2,Tue,07/01/14,8544,983,Yes,Yes,No,No,A,Basic,Yes,270,Far,01/08/13,Yes,10,2014,"Mar,Jun,Sept,Dec"
133,4,Thu,11/06/14,7982,845,Yes,Yes,No,No,A,Basic,Yes,270,Medium,01/08/13,Yes,10,2014,"Mar,Jun,Sept,Dec"
133,3,Wed,24/06/15,5220,579,Yes,No,No,No,A,Basic,Yes,270,Medium,01/08/13,Yes,10,2014,"Mar,Jun,Sept,Dec"
136,1,Mon,02/11/13,3495,303,Yes,No,No,Yes,A,Extended,Yes,2200,Far,01/12/10,Yes,22,2012,"Feb,May,Aug,Nov"
137,2,Tue,05/03/13,9445,1083,Yes,Yes,No,No,A,Basic,Yes,1730,Far,01/07/15,Yes,40,2014,"Jan,Apr,Jul,Oct"
137,1,Mon,03/03/14,12091,1209,Yes,Yes,No,Yes,A,Basic,Yes,1730,Far,01/07/15,Yes,40,2014,"Jan,Apr,Jul,Oct"
137,4,Thu,04/03/14,8716,1065,Yes,Yes,No,No,A,Basic,Yes,1730,Medium,01/07/15,Yes,40,2014,"Jan,Apr,Jul,Oct"
137,4,Thu,21/05/15,9519,979,Yes,Yes,No,No,A,Basic,Yes,1730,Far,01/07/15,Yes,40,2014,"Jan,Apr,Jul,Oct"
137,1,Mon,29/06/15,12070,1209,Yes,Yes,No,No,A,Basic,Yes,1730,Far,01/07/15,Yes,40,2014,"Jan,Apr,Jul,Oct"
139,4,Thu,14/03/13,5000,475,Yes,No,No,No,A,Basic,Yes,1700,Far,01/01/08,Yes,14,2011,"Jan,Apr,Jul,Oct"
139,5,Fri,19/04/13,5851,504,Yes,No,No,No,A,Basic,Yes,1700,Far,01/01/08,Yes,14,2011,"Jan,Apr,Jul,Oct"
139,3,Wed,15/02/25,5997,484,Yes,No,No,No,A,Basic,Yes,1700,Far,01/01/08,Yes,14,2011,"Jan,Apr,Jul,Oct"
146,3,Wed,14/07/02,8586,754,Yes,Yes,No,No,D,Extended,Yes,8050,Medium,01/10/61,Yes,48,2012,"Jan,Apr,Jul,Oct"
146,1,Mon,25/11/13,7974,660,Yes,No,No,No,D,Extended,Yes,8050,Far,01/10/61,Yes,48,2012,"Jan,Apr,Jul,Oct"
146,5,Fri,01/03/14,7115,714,Yes,No,No,Yes,D,Extended,Yes,8050,Far,01/10/61,Yes,48,2012,"Jan,Apr,Jul,Oct"
146,6,Sat,22/03/14,5854,638,Yes,No,No,No,D,Extended,Yes,8050,Far,01/10/61,Yes,48,2012,"Jan,Apr,Jul,Oct"
149,5,Fri,05/10/13,6303,566,Yes,No,No,No,D,Basic,Yes,2610,Far,01/07/06,Yes,14,2011,"Jan,Apr,Jul,Oct"
149,5,Fri,24/01/14,6007,478,Yes,Yes,No,No,D,Basic,Yes,2610,Far,01/07/06,Yes,14,2011,"Jan,Apr,Jul,Oct"
149,5,Fri,14/02/14,4503,466,Yes,No,No,No,D,Basic,Yes,2610,Far,01/07/06,Yes,14,2011,"Jan,Apr,Jul,Oct"
149,5,Fri,21/02/14,6031,520,Yes,Yes,No,No,D,Basic,Yes,2610,Far,01/07/06,Yes,14,2011,"Jan,Apr,Jul,Oct"
149,3,Wed,05/06/15,6014,473,Yes,Yes,No,No,D,Basic,Yes,2610,Far,01/07/06,Yes,14,2011,"Jan,Apr,Jul,Oct"
149,3,Wed,13/05/29,6893,563,Yes,Yes,No,Yes,D,Basic,Yes,2610,Medium,01/07/06,Yes,14,2011,"Jan,Apr,Jul,Oct"
153,4,Thu,13/06/13,5618,580,Yes,No,No,No,A,Basic,Yes,16240,Far,01/10/00,Yes,18,2011,"Feb,May,Aug,Nov"
153,6,Sat,05/04/14,3926,409,Yes,No,No,No,A,Basic,Yes,16240,Far,01/10/00,Yes,18,2011,"Feb,May,Aug,Nov"
153,1,Mon,09/08/14,5827,588,Yes,No,No,No,A,Basic,Yes,16240,Far,01/10/00,Yes,18,2011,"Feb,May,Aug,Nov"
153,6,Sat,03/01/15,3860,393,Yes,No,No,No,A,Basic,Yes,16240,Far,01/10/00,Yes,18,2011,"Feb,May,Aug,Nov"
153,1,Mon,13/04/29,11093,861,Yes,Yes,No,No,A,Basic,Yes,16240,Medium,01/10/00,Yes,18,2011,"Feb,May,Aug,Nov"
156,2,Tue,08/10/13,9258,899,Yes,Yes,No,No,A,Basic,Yes,2020,Far,01/02/11,Yes,14,2011,"Mar,Jun,Sept,Dec"
156,3,Wed,26/02/14,5164,627,Yes,No,No,No,A,Basic,Yes,2020,Medium,01/02/11,Yes,14,2011,"Mar,Jun,Sept,Dec"
156,1,Mon,13/07/15,10798,890,Yes,Yes,No,Yes,A,Basic,Yes,2020,Far,01/02/11,Yes,14,2011,"Mar,Jun,Sept,Dec"
162,1,Mon,25/08/14,5314,441,Yes,No,No,Yes,D,Extended,Yes,5340,Far,01/03/12,Yes,13,2010,"Jan,Apr,Jul,Oct"
