Store,DayOfWeek,Date,Sales,Customers,Open,Promo,StateHoliday,SchoolHoliday
303,4,04-17-2014,"$7,701.00",879,1,Active,0,1
1008,2,04-29-2014,"$7,085.00",835.0,1,Active,0,1
969,2,15.06.23,"$3,123.00",592,1,0,0,0
676,1,"May 20, 2013","$11,610.00",1970,1,0,a,0
469,6,"March 23, 2013","$14,808.00",,1,0,0,0
984,3,06/08/2014,"$6,830.00",766,1,1,0,1
259,,01/12/2013,"$16,090.00",2721,1,0,0,0
294,7,08-04-2013,$0.00,0,0,0,0,1
1020,1,01-12-2015,"$10,015.00",1157,1,Active,0,0
982,7,13/01/2013,$0.00,0,0,0,0,0
907,7,05-24-2015,$0.00,,0,0,0,0
649,7,15.01.04,$0.00,0,0,0,0,0
830,1,2014-04-28,"$9,597.00",721,1,1,0,0
386,4,"February 20, 2014","$9,085.00",689,1,Active,0,0
964,5,29/11/2013,"$10,768.00",1511,1,0,0,0
738,4 day,,"$6,763.00",606,1,0,0,0
1093,7,15/12/2013,$0.00,0,0,0,0,0
1112,3,15.02.25,"$6,015.00",602,1,0,0,0
506,3,14.08.13,"$6,341.00",826,1,0,0,1
1,7,01-25-2015,$0.00,0,0,0,0,0
106,,2014-05-11,$0.00,0,0,0,0,0
48,5,2015-04-10,"$3,496.00",395,1,0,0,0
1046,2,05/05/2015,"$9,598.00",705,1,1,0,0
846,2,10/06/2014,"$9,439.00",996,1,0,0,1
1024,7,05-10-2015,$0.00,0,0,0,0,0
801,7,04-12-2015,$0.00,0,0,0,0,0
979,7,"June 14, 2015",$0.00,,0,0,0,0
330,6,2015-04-18,"$4,440.00",450,1,0,0,0
608,7,2014-12-07,$0.00,0,0,0,0,0
411,2,14.09.23,"$5,490.00",501,1,0,0,0
504,2,"July 02, 2013","$7,960.00",1084,1,Active,0,1
1019,7,2013-12-01,$0.00,0,0,0,0,0
775,7,09-08-2013,$0.00,0,0,0,0,0
964,6,2015-05-16,"$9,314.00",1418,1,0,0,0
776,1,06-16-2014,"$6,534.00",640,1,1,0,0
556,3,05/06/2013,"$7,028.00",800,1,1,0,0
24,2 day,03/02/2015,"$11,866.00",984,1,1,0,0
656,3,"December 17, 2014","$3,692.00",373,1,1,0,0
65,7,2014-08-17,$0.00,0,0,0,0,0
1020,2,05-28-2013,"$9,656.00",1172,1,1,0,0
629,2,06-16-2015,"$7,399.00",581,1,Active,0,0
361,6,25/10/2014,"$5,674.00",668,1,0,0,0
61,3,"July 30, 2014","$5,601.00",,1,Active,0,0
657,2,04-21-2015,"$5,558.00",831,1,0,0,0
1061,4,2013-01-03,"$5,848.00",459,1,0,0,1
276,4,"July 25, 2013","$3,622.00",514,1,0,0,1
378,4,2014-06-05,"$7,000.00",,1,1,0,0
1031,1,10/11/2014,"$6,853.00",598,1,Active,0,0
439,1,2013-11-04,"$10,647.00",1139,1,Active,0,0
599,2,2013-04-16,"$7,392.00",773,1,0,0,0
402,1,14.04.07,"$3,844.00",477,1,0,0,0
736,5,14.01.31,"$5,121.00",494,1,0,0,0
1082,3,2015-06-03,"$7,237.00",940,1,Active,0,0
1014,1,06-23-2014,"$11,428.00",1366,1,0,0,0
286,7,13/07/2014,$0.00,0,0,0,0,0
294,7,"September 22, 2013",$0.00,0,0,0,0,0
443,7,15.03.08,$0.00,0,0,0,0,0
853,2,28/10/2014,"$8,092.00",1037,1,0,0,1
375,1,"August 25, 2014","$6,966.00",676,1,0,0,1
387,3,2014-01-22,,1219,1,Active,0,0
247,6,2013-10-05,"$7,282.00",629,1,0,0,0
21,3,13.03.27,"$7,370.00",692,1,1,0,1
1,,2015-01-27,"$4,806.00",532,1,1,0,0
476,7,14/12/2014,$0.00,0,0,0,0,0
552,7,11-23-2014,$0.00,0,0,0,0,0
960,3,08/05/2013,"$6,269.00",572,1,0,0,0
282,4,19/06/2014,"$4,982.00",709,1,1,0,0
571,3,10/04/2013,"$6,547.00",492,1,1,0,0
996,5,12/07/2013,"$4,725.00",607,1,0,0,0
697,2,04/02/2014,"$13,378.00",1188,1,1,0,0
514,7,2015-03-08,$0.00,0,0,0,0,0
540,1,14.04.21,$0.00,0,0,0,b,1
126,6,2015-04-11,"$4,587.00",440,1,0,0,0
699,2,2015-02-03,$0.00,,0,Active,0,0
720,7,28/04/2013,$0.00,0,0,0,0,0
454,3,13.06.19,"$6,724.00",821,1,Active,0,0
620,3,06-18-2014,"$8,352.00",775,1,Active,0,1
1005,,2013-07-24,"$5,205.00",828,1,0,0,1
658,4,25/06/2015,"$4,466.00",501,1,0,0,0
794,6,2013-06-01,"$2,401.00",434,1,0,0,0
584,1,14.04.07,"$3,629.00",368,1,0,0,0
600,6,13.11.09,"$7,085.00",,1,0,0,0
1086,4,"January 02, 2014","$6,286.00",786,1,0,0,1
56,1,15.04.06,$0.00,0,0,0,b,1
550,3,05/03/2014,"$6,471.00",,1,Active,0,0
888,3,"January 01, 2014",,0,0,0,a,1
506,6,14/03/2015,"$5,012.00",574,1,0,0,0
475,7,04/01/2015,$0.00,0,0,0,0,0
1053,3,13/02/2013,"$7,810.00",989,1,0,0,0
490,6,22/02/2014,"$9,749.00",1237,1,0,0,0
978,2,"January 01, 2013",$0.00,0,0,0,a,1
1047,7,05-03-2015,,,0,0,0,0
199,4,08-22-2013,"$5,807.00",524,1,0,0,0
759,7,13.12.01,$0.00,0,0,0,0,0
943,4,14/03/2013,"$6,345.00",563,1,0,0,0
772,7,"March 08, 2015",$0.00,0,0,0,0,0
979,1,12-15-2014,"$13,140.00",989,1,Active,0,0
784,6,2014-05-31,"$7,504.00",,1,0,0,0
905,1,"December 30, 2013","$14,597.00",,1,0,0,1
131,2,2013-12-24,"$3,329.00",396,1,0,0,1
46,3,,"$3,823.00",550,1,0,0,0
734,3,24/04/2013,"$4,874.00",515,1,1,0,0
178,7,2014-04-27,$0.00,0,0,0,0,0
3,1,14.03.24,"$5,248.00",696,1,0,0,0
700,5,15.05.22,"$4,300.00",,1,1,0,0
986,1,2014-07-14,"$7,496.00",845,1,Active,0,1
962,2,22/04/2014,"$5,242.00",853,1,0,0,1
1110,5,13.08.30,"$7,081.00",707,1,Active,0,0
431,5,30/08/2013,"$10,722.00",1112,1,1,0,1
212,7,2014-08-31,$0.00,0,0,0,0,0
403,3,"March 11, 2015","$5,968.00",660,1,0,0,0
308,1,29/07/2013,$0.00,0,0,Active,0,1
1102,,28/04/2015,"$7,226.00",633,1,1,0,0
61,3,25/12/2013,$0.00,0,0,0,c,1
847,5,30/05/2014,"$10,592.00",1364,1,0,0,0
274,7,"October 13, 2013","$5,776.00",1316,1,0,0,0
220,2,02-17-2015,"$6,512.00",772,1,Active,0,0
161,6,2014-04-05,"$7,286.00",,1,0,0,0
631,4,2013-02-14,"$4,123.00",,1,0,0,0
828,2,"December 23, 2014","$9,513.00",922,1,0,0,1
244,3,"March 11, 2015","$3,418.00",391,1,0,0,0
75,5,13.12.20,"$10,054.00",946,1,Active,0,0
613,1,2014-07-21,"$6,090.00",,1,0,0,1
592,3,2014-01-01,$0.00,0,0,0,a,1
511,1,"July 29, 2013","$6,181.00",836,1,1,0,1
108,3,"April 02, 2014","$11,170.00",844,1,1,0,0
921,5,18/04/2014,$0.00,0,0,1,b,1
850,2,2015-03-24,"$4,455.00",512,1,0,0,0
631,5,13/09/2013,"$5,460.00",683,1,1,0,0
731,4,2014-06-26,"$7,062.00",838,1,0,0,0
101,1,08-26-2013,"$9,703.00",,1,Active,0,0
213,7,13.08.25,$0.00,0,0,0,0,0
1076,4,12/06/2014,"$2,905.00",524,1,0,0,0
881,2,07-02-2013,"$5,781.00",865,1,1,0,0
943,1,01/04/2013,$0.00,0,0,0,b,1
121,3,2015-03-04,"$5,434.00",535,1,Active,0,0
556,1,2014-07-21,"$6,727.00",842,1,0,0,1
488,1 day,2013-01-14,"$2,884.00",324,1,0,0,0
1047,2,13.03.19,"$5,558.00",577,1,1,0,0
599,,10-18-2014,,1080,1,0,0,0
196,1,2014-11-24,"$7,305.00",823,1,Active,0,0
318,6,10-19-2013,"$5,333.00",501,1,0,0,0
451,5,"May 17, 2013","$5,726.00",502,1,Active,0,0
11,3,15.03.04,"$8,625.00",1154,1,Active,0,0
216,1 day,04-06-2015,$0.00,0,0,0,b,1
472,4,29/01/2015,"$5,611.00",668,1,Active,0,0
943,3,2013-06-19,"$6,201.00",525,1,Active,0,0
1053,2,2013-08-06,"$7,540.00",911,1,0,0,1
380,3,"May 01, 2013",$0.00,0,0,1,a,0
418,2,2013-05-21,"$4,228.00",519,1,0,0,1
839,7,26/10/2014,$0.00,0,0,0,0,0
596,,14.05.01,$0.00,0,0,1,a,0
296,5,13.02.15,"$5,281.00",644,1,0,0,0
876,7 day,,$0.00,0,0,0,0,0
345,5,13.07.19,"$5,308.00",550,1,1,0,0
39,4,13.04.18,"$3,026.00",485,1,0,0,0
203,4,23/10/2014,"$6,742.00",893,1,Active,0,0
645,5,14.07.04,"$8,726.00",1122,1,1,0,0
996,3,"February 12, 2014","$5,073.00",629,1,0,0,0
176,1,05-05-2014,"$8,890.00",,1,1,0,0
608,1,27/05/2013,"$12,155.00",1125,1,1,0,0
332,4,2013-10-03,$0.00,0,0,0,a,0
95,5,"May 03, 2013","$9,989.00",1145,1,Active,0,0
77,5,2013-08-16,"$7,608.00",682,1,Active,0,1
548,6,"January 05, 2013",,292,1,0,0,1
991,5,2014-12-12,"$6,193.00",550,1,0,0,0
673,3,07/05/2014,"$8,004.00",603,1,Active,0,0
1041,1,14/10/2013,"$5,215.00",657,1,0,0,0
486,1,14.06.09,$0.00,0,0,0,a,0
1109,4,07-30-2015,"$5,520.00",466,1,1,0,0
791,1 day,07/07/2014,"$6,870.00",800,1,0,0,1
796,2,2013-01-01,$0.00,0,0,0,a,1
349,2,,"$11,768.00",1183,1,0,0,1
521,1,24/03/2014,"$3,942.00",376,1,0,0,0
1090,5,15.05.29,"$6,436.00",813,1,0,0,0
817,5 day,"June 19, 2015","$22,946.00",2996,1,Active,0,0
301,2,"September 02, 2014","$6,309.00",689,1,Active,0,0
1058,4,13.09.05,"$5,264.00",589,1,0,0,0
14,7,15/09/2013,$0.00,0,0,0,0,0
315,5,2015-07-31,"$5,959.00",553.0,1,1,0,1
202,2,13.04.16,"$3,211.00",324,1,0,0,0
195,5,11-21-2014,"$8,630.00",1079,1,0,0,0
427,7,"October 06, 2013",$0.00,,0,0,0,0
884,1,20/07/2015,"$6,210.00",615,1,0,0,0
1056,7,15.05.24,$0.00,0,0,0,0,0
977,1,06-22-2015,"$3,931.00",445,1,0,0,0
906,7 day,17/08/2014,$0.00,0,0,0,0,1
597,6,13.06.01,"$4,670.00",681,1,0,0,0
674,1,25/11/2013,"$6,611.00",955,1,0,0,0
957,,"December 12, 2014","$7,906.00",,1,0,0,0
694,7,2014-05-25,$0.00,0,0,0,0,0
427,6 day,"April 06, 2013","$5,658.00",654,1,0,0,0
1045,2,10/06/2014,"$9,847.00",1190,1,0,0,0
475,6,05-10-2014,"$6,571.00",1073,1,0,0,0
681,3 day,2013-03-13,"$2,304.00",390,1,0,0,0
569,2,2015-04-07,"$5,490.00",762,1,0,0,1
949,2,03-10-2015,"$3,426.00",367,1,0,0,0
47,2,"July 30, 2013","$9,246.00",1078,1,Active,0,1
861,6,12-21-2013,"$4,491.00",674,1,0,0,0
595,4,13.12.05,"$22,157.00",2315,1,Active,0,0
1063,4,13.03.07,"$4,240.00",520,1,Active,0,1
780,7,13.10.13,$0.00,0,0,0,0,0
762,,11/06/2014,,298,1,0,0,1
394,5,2014-06-13,"$8,444.00",700,1,0,0,0
184,5,"July 10, 2015","$6,233.00",578,1,0,0,1
826,2,20/08/2013,,641,1,0,0,1
217,4,"November 20, 2014","$3,849.00",565,1,0,0,0
1090,4 day,"August 14, 2014","$5,795.00",760,1,0,0,1
513,3,2014-10-29,"$14,564.00",1761,1,0,0,1
135,4,11/09/2014,"$4,626.00",468,1,0,0,0
645,6,28/12/2013,"$8,953.00",1269,1,0,0,0
303,4,"June 13, 2013","$4,617.00",562,1,0,0,0
730,5,08-22-2014,,997,1,Active,0,1
132,2,2013-12-03,"$7,959.00",656,1,1,0,0
616,2,04-30-2013,"$12,185.00",,1,1,0,0
28,5,2015-02-13,"$5,101.00",573,1,0,0,1
715,4,08-14-2014,"$5,319.00",,1,0,0,1
573,4,2013-03-14,"$2,426.00",264.0,1,0,0,0
995,2,14.12.09,"$9,394.00",779,1,0,0,0
538,2,04-14-2015,"$4,565.00",,1,Active,0,1
583,4,02-28-2013,"$4,043.00",469,1,0,0,0
146,5,01-03-2014,"$7,115.00",714,1,0,0,1
1023,4,02-27-2014,"$3,703.00",455,1,0,0,1
446,3,,,584,1,0,0,0
942,2,05/08/2014,"$6,968.00",517,1,1,0,1
882,5,14.02.21,"$7,061.00",881,1,1,0,0
494,4,"May 22, 2014","$7,401.00",1115,1,1,0,0
999,3,08/05/2013,"$8,508.00",711,1,0,0,0
884,7,14.05.11,$0.00,0,0,0,0,0
400,5,2015-05-15,"$9,981.00",1407,1,0,0,1
554,4,2015-04-23,"$4,282.00",583,1,0,0,0
853,2,05-21-2013,"$9,895.00",1165,1,0,0,1
23,6,14.11.29,"$5,504.00",513,1,0,0,0
547,7,14.02.23,$0.00,0.0,0,0,0,0
196,3,14.09.17,"$6,067.00",720,1,1,0,0
439,6,14.04.05,,760,1,0,0,0
949,7,2015-06-07,$0.00,,0,0,0,0
497,5,14.11.14,"$10,178.00",1251,1,Active,0,0
824,3,15.02.18,"$8,124.00",1010,1,1,0,0
905,2,09/06/2015,"$6,221.00",1004,1,0,0,0
323,6,"December 13, 2014","$9,361.00",725,1,0,0,0
692,6,15.01.31,"$4,220.00",531,1,0,0,0
569,4,06-12-2014,,740,1,0,0,0
405,2,15.03.17,"$5,388.00",550,1,1,0,0
585,2,"August 12, 2014","$3,900.00",644,1,0,0,1
823,7 day,2013-08-11,$0.00,0,0,0,0,0
1005,1,01-05-2015,"$8,265.00",1124,1,1,0,1
527,1,"September 23, 2013","$11,097.00",1046,1,1,0,0
398,4,"July 09, 2015","$4,241.00",540,1,0,0,0
483,3,14.12.10,"$4,727.00",641,1,0,0,0
43,6,17/08/2013,"$3,919.00",402,1,0,0,0
1079,4,2014-06-19,$0.00,0,0,1,a,0
362,5,15.07.24,"$7,635.00",1080.0,1,0,0,0
88,2,2013-03-05,"$8,695.00",,1,Active,0,0
106,4,07/08/2014,"$8,547.00",,1,1,0,1
584,3,"January 23, 2013","$4,617.00",413,1,1,0,0
751,7,14.07.13,$0.00,0,0,0,0,0
508,7,,$0.00,0,0,0,0,0
215,6,02-07-2015,"$7,296.00",550,1,0,0,0
196,3 day,,"$5,193.00",691,1,Active,0,0
943,7,10-05-2014,$0.00,0,0,0,0,0
574,2,2015-07-28,"$11,684.00",752,1,Active,0,0
952,1,06/01/2014,$0.00,0,0,Active,a,0
59,3,04-10-2013,"$6,171.00",602,1,Active,0,0
382,2,15.07.28,"$8,884.00",667,1,1,0,1
195,2,,"$11,708.00",1391,1,1,0,0
408,2,06-16-2015,"$5,816.00",523,1,Active,0,0
828,3,08/01/2014,"$6,659.00",732,1,1,0,0
663,1,"December 22, 2014","$9,319.00",1213,1,0,0,1
814,4 day,2015-02-26,"$7,507.00",661,1,0,0,0
554,2,09/12/2014,"$4,897.00",662,1,0,0,0
63,4,06-27-2013,"$5,504.00",,1,0,0,1
790,2,13.08.27,"$7,688.00",657,1,1,0,0
628,5,13.02.15,"$4,759.00",683,1,0,0,0
93,5,"July 10, 2015","$6,255.00",684,1,0,0,1
19,4,14.11.13,"$6,438.00",663,1,Active,0,0
84,5,20/12/2013,"$20,529.00",1994,1,Active,0,0
628,3,24/06/2015,"$4,571.00",635,1,0,0,0
380,1 day,14.03.17,"$18,699.00",,1,1,0,0
159,6,31/08/2013,,600,1,0,0,0
34,5,08/11/2013,"$7,441.00",1032,1,Active,0,0
380,4,13.08.01,"$15,092.00",1533,1,Active,0,1
162,1,08-25-2014,"$5,314.00",441,1,0,0,1
142,3,01-23-2013,"$4,889.00",588,1,Active,0,0
1021,1,,"$8,550.00",1118,1,0,0,0
591,5,06-05-2015,"$8,091.00",645.0,1,1,0,1
787,2,10/02/2015,"$8,175.00",968,1,0,0,1
658,3,04/12/2013,"$8,093.00",725,1,1,0,0
275,2,14/01/2014,"$5,275.00",572,1,0,0,0
168,1,07/01/2013,"$11,462.00",995,1,Active,0,0
1008,5,07-26-2013,"$3,774.00",562,1,0,0,1
898,1,,,951,1,1,0,0
14,7,"December 15, 2013",$0.00,0,0,0,0,0
159,2 day,2015-06-02,"$9,788.00",769,1,1,0,1
300,1,15.06.01,"$7,632.00",923,1,1,0,0
939,4,29/08/2013,"$5,834.00",565,1,1,0,1
35,6,"November 16, 2013","$7,420.00",619,1,0,0,0
332,3,09-24-2014,"$3,240.00",478,1,0,0,0
878,1,01-28-2013,"$7,040.00",694,1,0,0,0
709,6,13.05.04,"$4,457.00",572,1,0,0,0
706,1,"May 20, 2013",$0.00,0,0,0,a,0
739,1,13.11.25,"$6,665.00",613,1,0,0,0
469,2,15.04.14,"$14,125.00",1592,1,Active,0,0
932,3,2013-12-11,"$7,385.00",809,1,0,0,0
954,2,"March 17, 2015","$8,267.00",1010,1,1,0,0
923,6 day,2013-01-19,"$5,302.00",519,1,0,0,0
957,2,10/09/2013,"$10,200.00",1027,1,Active,0,0
945,1 day,05-05-2014,"$6,081.00",,1,Active,0,0
145,5,,"$7,842.00",1077,1,0,0,1
343,4,2013-09-12,"$7,884.00",,1,1,0,0
567,2,"February 04, 2014","$7,383.00",854,1,Active,0,0
1095,7,03-17-2013,$0.00,0.0,0,0,0,0
324,1,04-08-2013,"$10,260.00",1173,1,1,0,0
705,5,"April 25, 2014","$6,457.00",867,1,0,0,1
634,4,14.05.15,"$5,550.00",628,1,0,0,0
459,5,13.11.08,"$10,194.00",,1,1,0,0
913,6,01/02/2014,"$8,115.00",1154,1,0,0,0
416,1,13.07.22,"$8,146.00",1129,1,0,0,1
562,2,05/05/2015,"$18,898.00",3119,1,1,0,0
768,4,06-06-2013,"$12,852.00",1332,1,1,0,0
452,5,14.08.22,"$7,050.00",619,1,1,0,1
1049,,08-24-2013,"$2,750.00",464,1,0,0,0
233,6,10-26-2013,"$7,157.00",839,1,0,0,0
436,5 day,15.06.12,"$4,687.00",,1,0,0,0
330,7,2015-02-08,$0.00,0,0,0,0,0
1075,2,"May 06, 2014","$12,106.00",1106,1,1,0,0
365,6,05-18-2013,"$5,446.00",627,1,0,0,0
673,6,30/03/2013,,748,1,0,0,0
295,5,2014-01-10,"$5,300.00",648.0,1,Active,0,0
425,6,2013-10-26,"$1,693.00",253,1,0,0,0
392,6,2015-02-28,"$5,109.00",493,1,0,0,0
322,4,13.09.19,"$4,302.00",,1,0,0,0
1085,3,2013-08-21,,,1,0,0,0
312,7,"November 23, 2014",$0.00,0,0,0,0,0
1023,5,"May 24, 2013","$5,181.00",604,1,0,0,0
1107,5 day,15.03.13,"$4,975.00",573,1,0,0,0
159,7,06-28-2015,$0.00,,0,0,0,0
1112,5,28/02/2014,"$9,025.00",753.0,1,0,0,0
431,5,"August 23, 2013","$6,874.00",,1,0,0,1
341,,12/05/2013,$0.00,0,0,0,0,0
387,7,14.03.16,$0.00,0,0,0,0,0
440,1,13/04/2015,"$6,848.00",710,1,Active,0,0
751,3,15.01.14,"$4,277.00",561,1,Active,0,0
875,7 day,2013-05-05,$0.00,0,0,0,0,0
332,5,17/10/2014,"$3,609.00",498,1,0,0,0
47,4,2013-02-14,"$5,656.00",894,1,0,0,0
658,,2015-06-10,"$5,137.00",529,1,0,0,0
1106,6,14.12.06,"$3,638.00",421,1,0,0,0
208,5,2014-07-04,"$3,317.00",430,1,1,0,0
971,2,29/01/2013,"$5,511.00",777,1,0,0,0
1114,5,15.07.03,"$23,750.00",3675,1,1,0,0
123,3,"September 10, 2014","$24,549.00",2011,1,0,0,0
130,6,13.01.19,"$4,224.00",,1,0,0,0
83,,"October 05, 2013","$2,654.00",249,1,0,0,0
653,4,"January 31, 2013","$5,902.00",510.0,1,0,0,0
595,5,"June 06, 2014",,1728,1,Active,0,0
924,1,13.04.15,"$3,636.00",427,1,0,0,0
636,2,14.01.28,"$3,543.00",523,1,0,0,0
286,5,05-22-2015,"$4,406.00",442,1,Active,0,0
1043,6 day,13.12.21,,2274,1,0,0,0
946,5,08-02-2013,"$4,493.00",543,1,1,0,1
843,3,,"$13,261.00",1440,1,Active,0,0
1031,7,14.04.13,$0.00,0,0,0,0,0
852,5,26/04/2013,"$5,002.00",610,1,1,0,0
725,3,"May 14, 2014","$4,816.00",530,1,0,0,0
455,2,2013-06-04,"$6,795.00",464,1,1,0,0
75,6,06/09/2014,"$5,214.00",598,1,0,0,0
926,6,"February 09, 2013","$5,528.00",490,1,0,0,0
552,5,18/01/2013,"$5,769.00",581,1,0,0,0
569,6,27/12/2014,"$3,296.00",406,1,0,0,0
184,5,15.02.13,"$6,576.00",672,1,0,0,0
959,6,09-28-2013,"$4,200.00",416,1,0,0,0
1017,3,01/05/2013,$0.00,0,0,Active,a,0
552,2,2013-06-25,"$5,857.00",640,1,0,0,0
784,2,"August 12, 2014","$6,994.00",845,1,0,0,1
474,2,08-13-2013,"$9,680.00",910,1,Active,0,1
1051,7,"January 05, 2014",$0.00,0,0,0,0,0
593,5,2013-12-27,"$10,898.00",1368,1,0,0,1
59,6,"September 13, 2014","$2,558.00",287,1,0,0,0
678,4,01-30-2014,"$5,234.00",688,1,0,0,0
584,7,24/02/2013,$0.00,0,0,0,0,0
246,3,2014-04-02,"$7,962.00",1000,1,Active,0,0
742,6,"March 28, 2015","$7,976.00",866,1,0,0,0
35,7,03/05/2015,$0.00,0,0,0,0,0
599,4,07-09-2015,"$8,310.00",759,1,0,0,0
367,7,2014-12-21,$0.00,0,0,0,0,0
546,4,2013-10-17,"$11,369.00",1489,1,0,0,0
82,4 day,2014-03-20,"$8,916.00",861,1,Active,0,0
248,3,10-23-2013,"$8,209.00",1100,1,Active,0,0
817,7,2013-08-18,,0,0,0,0,0
120,3,15.05.13,"$7,088.00",693,1,0,0,0
289,2 day,06-16-2015,"$7,068.00",588,1,Active,0,0
942,6,"February 14, 2015","$7,046.00",573,1,0,0,0
793,7,2015-07-05,$0.00,0,0,0,0,0
310,4 day,2014-01-02,"$7,963.00",,1,0,0,1
784,7,"January 05, 2014",$0.00,0,0,0,0,0
957,7,31/08/2014,$0.00,0.0,0,0,0,0
1087,7,"December 01, 2013",$0.00,0,0,0,0,0
22,7 day,17/11/2013,$0.00,0,0,0,0,0
864,4,20/03/2014,"$4,521.00",639,1,1,0,0
390,3,10-30-2013,"$9,871.00",979,1,0,0,0
832,5,31/10/2014,"$7,688.00",692,1,0,0,1
846,,2014-12-25,$0.00,0,0,0,c,1
962,1,"November 03, 2014","$13,083.00",1403,1,Active,0,0
533,3,"July 23, 2014","$8,008.00",889,1,0,0,0
596,1,"December 08, 2014","$4,640.00",741,1,0,0,0
744,2,13.09.10,$0.00,0,0,Active,0,1
559,2 day,13.05.07,"$5,630.00",826,1,0,0,0
217,2,2013-01-29,"$3,332.00",519,1,0,0,0
1010,6,06-27-2015,"$9,654.00",856,1,0,0,0
732,2,14.05.27,"$6,540.00",777,1,0,0,0
968,6 day,14/03/2015,"$4,986.00",586,1,0,0,0
709,2,04-02-2013,"$11,755.00",,1,0,0,1
440,4,"July 02, 2015","$5,649.00",649,1,Active,0,0
164,1,05-25-2015,$0.00,0,0,0,a,0
1022,1,07-01-2013,"$12,384.00",1164,1,Active,0,0
552,3,13/02/2013,"$6,084.00",690,1,0,0,0
430,5,05-22-2015,"$9,895.00",800,1,Active,0,0
362,,12/03/2014,"$6,812.00",930,1,0,0,0
916,4,13.12.05,"$6,511.00",793,1,1,0,0
309,3,03-27-2013,"$8,599.00",,1,Active,0,1
829,5,10-11-2013,"$6,145.00",803,1,Active,0,0
997,6,"October 05, 2013","$4,795.00",418.0,1,0,0,0
604,3,"February 04, 2015","$8,000.00",573,1,Active,0,0
1088,4,14.05.22,"$5,751.00",525,1,1,0,0
182,2,14.11.04,"$6,924.00",492,1,1,0,0
842,7,2013-06-30,$0.00,0,0,0,0,0
114,7,29/09/2013,$0.00,0,0,0,0,0
920,1,20/01/2014,"$6,606.00",641,1,Active,0,0
229,3,14.03.26,"$6,402.00",591,1,0,0,0
391,6,2013-05-18,"$3,011.00",387,1,0,0,0
421,2,14.08.19,"$10,851.00",1070,1,Active,0,1
137,1,29/06/2015,"$12,070.00",1209,1,Active,0,0
484,6,,"$8,891.00",889,1,0,0,0
638,6,03/01/2015,,519,1,0,0,0
730,6,13.01.05,"$10,110.00",1218,1,0,0,0
1017,6 day,2013-08-24,"$3,883.00",667,1,0,0,0
399,7,2013-08-04,$0.00,,0,0,0,0
604,3,2015-03-25,"$5,347.00",432,1,0,0,0
210,7,17/11/2013,,0,0,0,0,0
726,1,"December 08, 2014","$12,702.00",1220,1,0,0,0
628,6 day,"February 15, 2014","$3,489.00",475,1,0,0,0
112,4,2014-06-19,"$5,966.00",754,1,Active,0,0
979,2,21/05/2013,"$5,722.00",661,1,0,0,0
291,1,13.10.07,"$14,021.00",1309.0,1,Active,0,0
179,6,"September 21, 2013",,859.0,1,0,0,0
