Store,SUM of Sales,SUM of Customers,AVERAGE of Sales,AVERAGE of Customers,,,DayOfWeek,AVERAGE of Sales,AVERAGE of Customers,,,,,,,
40,10788,1444,3596.00,481.33,,,A,12194714.00,,,,,,,,
41,4019,308,1339.67,102.67,,,B,474759.00,,,,,,,,
42,20025,1100,6675.00,366.67,,,C,2942411.00,,,,,,,,
43,29892,2028,4982.00,338.00,,,D,6046074.00,,,,,,,,
44,4238,499,2119.00,249.50,,,,,,,,,,,,
45,34184,2517,4883.43,359.57,,,,,,,,,,,,
46,7394,1112,1848.50,278.00,,,,,,,,,,,,
47,48690,6516,4869.00,651.60,,,,,,,,,,,,
48,14212,1586,3553.00,396.50,,,,,,,,,,,,
49,32082,2514,5347.00,419.00,,,,,,,,,,,,
51,33778,2091,4825.43,298.71,,,,,,,,,,,,
52,15416,1032,7708.00,516.00,,,,,,,,,,,,
53,15442,1576,5147.33,525.33,,,,,,,,,,,,
54,20016,1337,6672.00,445.67,,,,,,,,,,,,
55,14469,1679,4823.00,559.67,,,,,,,,,,,,
56,34258,2425,6851.60,485.00,,,,,,,,,,,,
57,36938,3161,12312.67,1053.67,,,,,,,,,,,,
58,11560,990,5780.00,495.00,,,,,,,,,,,,
59,31582,2710,4511.71,387.14,,,,,,,,,,,,
60,19982,1855,6660.67,618.33,,,,,,,,,,,,
61,5601,0,5601.00,0.00,,,,,,,,,,,,
62,21535,2409,4307.00,481.80,,,,,,,,,,,,
63,23324,2188,4664.80,437.60,,,,,,,,,,,,
64,51146,3797,8524.33,632.83,,,,,,,,,,,,
65,13974,1145,4658.00,381.67,,,,,,,,,,,,
66,35609,3564,5934.83,594.00,,,,,,,,,,,,
67,8896,877,2965.33,292.33,,,,,,,,,,,,
68,45061,5163,5632.63,645.38,,,,,,,,,,,,
69,39111,5320,7822.20,1064.00,,,,,,,,,,,,
70,35873,2147,5978.83,357.83,,,,,,,,,,,,
71,21268,1653,10634.00,826.50,,,,,,,,,,,,
72,8877,454,2959.00,151.33,,,,,,,,,,,,
73,14275,1660,2855.00,332.00,,,,,,,,,,,,
75,33649,3489,5608.17,581.50,,,,,,,,,,,,
76,40078,4186,6679.67,697.67,,,,,,,,,,,,
77,59583,4671,7447.88,583.88,,,,,,,,,,,,
78,13766,1694,4588.67,564.67,,,,,,,,,,,,
79,21181,2540,5295.25,635.00,,,,,,,,,,,,
80,24789,1857,6197.25,464.25,,,,,,,,,,,,
81,27088,1558,5417.60,311.60,,,,,,,,,,,,
82,81398,7047,9044.22,783.00,,,,,,,,,,,,
83,18360,1644,3672.00,328.80,,,,,,,,,,,,
84,82073,8689,13678.83,1448.17,,,,,,,,,,,,
85,54899,7618,9149.83,1269.67,,,,,,,,,,,,
86,38395,5432,3490.45,493.82,,,,,,,,,,,,
87,12494,1602,6247.00,801.00,,,,,,,,,,,,
88,43816,4329,6259.43,618.43,,,,,,,,,,,,
89,35602,3562,5933.67,593.67,,,,,,,,,,,,
90,15878,1960,5292.67,653.33,,,,,,,,,,,,
91,20287,2281,2898.14,325.86,,,,,,,,,,,,
92,18870,1649,6290.00,549.67,,,,,,,,,,,,
93,27135,2356,5427.00,471.20,,,,,,,,,,,,
94,12086,1210,4028.67,403.33,,,,,,,,,,,,
95,25585,1713,4264.17,285.50,,,,,,,,,,,,
96,23730,2455,3955.00,409.17,,,,,,,,,,,,
97,7391,782,3695.50,391.00,,,,,,,,,,,,
98,0,0,0.00,0.00,,,,,,,,,,,,
99,1889,206,944.50,103.00,,,,,,,,,,,,
100,33172,2762,8293.00,690.50,,,,,,,,,,,,
101,15409,710,7704.50,355.00,,,,,,,,,,,,
102,19295,2571,6431.67,857.00,,,,,,,,,,,,
103,8737,808,4368.50,404.00,,,,,,,,,,,,
104,64965,6848,8120.63,856.00,,,,,,,,,,,,
105,9086,957,2271.50,239.25,,,,,,,,,,,,
106,50231,2792,10046.20,558.40,,,,,,,,,,,,
107,6965,889,6965.00,889.00,,,,,,,,,,,,
108,44283,3342,8856.60,668.40,,,,,,,,,,,,
109,40688,4580,5812.57,654.29,,,,,,,,,,,,
110,12217,1534,6108.50,767.00,,,,,,,,,,,,
111,6502,0,6502.00,0.00,,,,,,,,,,,,
112,37896,4697,4210.67,521.89,,,,,,,,,,,,
113,46833,4600,5854.13,575.00,,,,,,,,,,,,
114,23142,3247,3306.00,463.86,,,,,,,,,,,,
115,21769,1087,5442.25,271.75,,,,,,,,,,,,
116,53842,4860,5982.44,540.00,,,,,,,,,,,,
117,3151,0,1050.33,0.00,,,,,,,,,,,,
118,0,0,0.00,0.00,,,,,,,,,,,,
119,26989,2423,3855.57,346.14,,,,,,,,,,,,
120,32632,3074,6526.40,614.80,,,,,,,,,,,,
121,12068,774,4022.67,258.00,,,,,,,,,,,,
122,33902,4493,5650.33,748.83,,,,,,,,,,,,
123,52339,5232,7477.00,747.43,,,,,,,,,,,,
124,26158,3912,3736.86,558.86,,,,,,,,,,,,
125,26962,1989,6740.50,497.25,,,,,,,,,,,,
126,81749,4771,8174.90,477.10,,,,,,,,,,,,
127,18939,2479,3787.80,495.80,,,,,,,,,,,,
128,35932,3286,7186.40,657.20,,,,,,,,,,,,
129,9750,1191,9750.00,1191.00,,,,,,,,,,,,
130,21260,1813,4252.00,362.60,,,,,,,,,,,,
131,28216,2354,3527.00,294.25,,,,,,,,,,,,
132,13953,1750,2325.50,291.67,,,,,,,,,,,,
133,30427,2848,5071.17,474.67,,,,,,,,,,,,
134,4040,351,2020.00,175.50,,,,,,,,,,,,
135,33525,2993,4789.29,427.57,,,,,,,,,,,,
136,9550,713,4775.00,356.50,,,,,,,,,,,,
137,51841,5545,8640.17,924.17,,,,,,,,,,,,
138,31165,2808,7791.25,702.00,,,,,,,,,,,,
139,16848,1463,3369.60,292.60,,,,,,,,,,,,
140,33002,2821,5500.33,470.17,,,,,,,,,,,,
141,4738,603,4738.00,603.00,,,,,,,,,,,,
142,24698,2455,3528.29,350.71,,,,,,,,,,,,
143,39834,4946,4979.25,618.25,,,,,,,,,,,,
144,6289,629,6289.00,629.00,,,,,,,,,,,,
145,69153,8729,6915.30,872.90,,,,,,,,,,,,
146,38444,2766,6407.33,461.00,,,,,,,,,,,,
147,39754,3616,6625.67,602.67,,,,,,,,,,,,
148,15883,1532,5294.33,510.67,,,,,,,,,,,,
149,35751,3066,5107.29,438.00,,,,,,,,,,,,
150,44079,4421,8815.80,884.20,,,,,,,,,,,,
151,25221,1619,6305.25,404.75,,,,,,,,,,,,
152,25248,1998,5049.60,399.60,,,,,,,,,,,,
153,42555,2831,6079.29,404.43,,,,,,,,,,,,
154,39718,4682,6619.67,780.33,,,,,,,,,,,,
155,17341,1108,5780.33,369.33,,,,,,,,,,,,
156,25220,3029,5044.00,605.80,,,,,,,,,,,,
157,35960,3778,8990.00,944.50,,,,,,,,,,,,
158,14957,951,7478.50,475.50,,,,,,,,,,,,
159,27103,2843,5420.60,568.60,,,,,,,,,,,,
160,9726,463,4863.00,231.50,,,,,,,,,,,,
161,36191,3329,7238.20,665.80,,,,,,,,,,,,
162,18326,1467,4581.50,366.75,,,,,,,,,,,,
163,33215,3955,6643.00,791.00,,,,,,,,,,,,
164,26291,2636,4381.83,439.33,,,,,,,,,,,,
165,7091,454,3545.50,227.00,,,,,,,,,,,,
166,22201,3338,3700.17,556.33,,,,,,,,,,,,
167,7748,1025,7748.00,1025.00,,,,,,,,,,,,
168,81405,6953,8140.50,695.30,,,,,,,,,,,,
169,9681,984,3227.00,328.00,,,,,,,,,,,,
170,27689,2663,3955.57,380.43,,,,,,,,,,,,
171,31500,4215,5250.00,702.50,,,,,,,,,,,,
172,6559,769,3279.50,384.50,,,,,,,,,,,,
173,39548,4857,7909.60,971.40,,,,,,,,,,,,
174,27123,2273,5424.60,454.60,,,,,,,,,,,,
175,16081,631,5360.33,210.33,,,,,,,,,,,,
176,31983,2035,6396.60,407.00,,,,,,,,,,,,
177,5226,556,5226.00,556.00,,,,,,,,,,,,
178,72388,5631,8043.11,625.67,,,,,,,,,,,,
179,44070,6307,7345.00,1051.17,,,,,,,,,,,,
180,26375,3629,6593.75,907.25,,,,,,,,,,,,
181,7055,405,3527.50,202.50,,,,,,,,,,,,
182,20268,1448,6756.00,482.67,,,,,,,,,,,,
183,15297,595,3824.25,148.75,,,,,,,,,,,,
184,64855,6005,5895.91,545.91,,,,,,,,,,,,
185,39331,2318,5618.71,331.14,,,,,,,,,,,,
186,6292,1125,1573.00,281.25,,,,,,,,,,,,
187,7187,941,7187.00,941.00,,,,,,,,,,,,
188,31712,1772,5285.33,295.33,,,,,,,,,,,,
189,39365,4079,5623.57,582.71,,,,,,,,,,,,
190,40143,3487,8028.60,697.40,,,,,,,,,,,,
191,27528,3664,5505.60,732.80,,,,,,,,,,,,
192,52485,3584,13121.25,896.00,,,,,,,,,,,,
193,12546,1672,4182.00,557.33,,,,,,,,,,,,
194,35051,3013,4381.38,376.63,,,,,,,,,,,,
195,71092,8974,8886.50,1121.75,,,,,,,,,,,,
196,53425,6508,4856.82,591.64,,,,,,,,,,,,
197,28063,3276,7015.75,819.00,,,,,,,,,,,,
198,12854,1467,2570.80,293.40,,,,,,,,,,,,
199,46273,3045,5784.13,380.63,,,,,,,,,,,,
200,15959,2025,7979.50,1012.50,,,,,,,,,,,,
201,15921,1351,5307.00,450.33,,,,,,,,,,,,
202,55674,4086,6186.00,454.00,,,,,,,,,,,,
203,13206,1721,4402.00,573.67,,,,,,,,,,,,
204,5491,553,5491.00,553.00,,,,,,,,,,,,
205,30919,4180,6183.80,836.00,,,,,,,,,,,,
206,25071,3502,5014.20,700.40,,,,,,,,,,,,
207,18881,2339,6293.67,779.67,,,,,,,,,,,,
208,24878,3385,3109.75,423.13,,,,,,,,,,,,
209,16232,1652,2705.33,275.33,,,,,,,,,,,,
210,12163,1292,1105.73,117.45,,,,,,,,,,,,
211,75732,6879,12622.00,1146.50,,,,,,,,,,,,
212,34215,2004,4276.88,250.50,,,,,,,,,,,,
213,38413,2043,6402.17,340.50,,,,,,,,,,,,
214,46464,2817,7744.00,469.50,,,,,,,,,,,,
215,12262,973,4087.33,324.33,,,,,,,,,,,,
216,34253,5194,4893.29,742.00,,,,,,,,,,,,
217,17701,1788,4425.25,447.00,,,,,,,,,,,,
218,7771,1183,3885.50,591.50,,,,,,,,,,,,
219,5236,409,1745.33,136.33,,,,,,,,,,,,
220,13567,772,3391.75,193.00,,,,,,,,,,,,
221,40822,3505,5831.71,500.71,,,,,,,,,,,,
222,8111,1070,2027.75,267.50,,,,,,,,,,,,
223,20345,1924,5086.25,481.00,,,,,,,,,,,,
224,47622,3453,6803.14,493.29,,,,,,,,,,,,
225,16757,1653,3351.40,330.60,,,,,,,,,,,,
226,58584,4892,6509.33,543.56,,,,,,,,,,,,
227,18013,1685,3602.60,337.00,,,,,,,,,,,,
228,23692,1707,3948.67,284.50,,,,,,,,,,,,
229,69754,5663,6975.40,566.30,,,,,,,,,,,,
230,14520,1786,7260.00,893.00,,,,,,,,,,,,
232,11704,963,3901.33,321.00,,,,,,,,,,,,
233,51998,5911,8666.33,985.17,,,,,,,,,,,,
234,94152,8912,10461.33,990.22,,,,,,,,,,,,
235,22874,1495,3812.33,249.17,,,,,,,,,,,,
236,12079,1702,6039.50,851.00,,,,,,,,,,,,
237,23587,2490,4717.40,498.00,,,,,,,,,,,,
238,55179,6271,7882.71,895.86,,,,,,,,,,,,
239,37417,3377,4677.13,422.13,,,,,,,,,,,,
240,20923,2039,3487.17,339.83,,,,,,,,,,,,
241,17555,1308,5851.67,436.00,,,,,,,,,,,,
243,26180,2868,6545.00,717.00,,,,,,,,,,,,
244,26014,2612,5202.80,522.40,,,,,,,,,,,,
245,53238,5029,8873.00,838.17,,,,,,,,,,,,
246,28611,3064,5722.20,612.80,,,,,,,,,,,,
247,34568,3609,5761.33,601.50,,,,,,,,,,,,
248,41977,5771,6996.17,961.83,,,,,,,,,,,,
249,23055,2965,4611.00,593.00,,,,,,,,,,,,
250,14440,1257,4813.33,419.00,,,,,,,,,,,,
251,125561,19302,12556.10,1930.20,,,,,,,,,,,,
252,25958,2227,8652.67,742.33,,,,,,,,,,,,
253,42245,4719,6035.00,674.14,,,,,,,,,,,,
254,12913,1024,3228.25,256.00,,,,,,,,,,,,
255,12697,1313,6348.50,656.50,,,,,,,,,,,,
256,55044,5555,11008.80,1111.00,,,,,,,,,,,,
257,14103,1761,4701.00,587.00,,,,,,,,,,,,
258,18288,1076,6096.00,358.67,,,,,,,,,,,,
259,12874,2389,12874.00,2389.00,,,,,,,,,,,,
260,12945,1811,4315.00,603.67,,,,,,,,,,,,
261,58883,3588,9813.83,598.00,,,,,,,,,,,,
262,94624,15648,18924.80,3129.60,,,,,,,,,,,,
263,17995,1788,2570.71,255.43,,,,,,,,,,,,
264,37188,5175,6198.00,862.50,,,,,,,,,,,,
265,25289,2693,4214.83,448.83,,,,,,,,,,,,
266,11399,769,5699.50,384.50,,,,,,,,,,,,
267,17268,2053,5756.00,684.33,,,,,,,,,,,,
268,13135,2460,2189.17,410.00,,,,,,,,,,,,
269,56464,5913,9410.67,985.50,,,,,,,,,,,,
270,16072,2285,8036.00,1142.50,,,,,,,,,,,,
271,18806,1930,4701.50,482.50,,,,,,,,,,,,
272,16349,2361,4087.25,590.25,,,,,,,,,,,,
273,35391,3300,8847.75,825.00,,,,,,,,,,,,
274,28188,5671,4026.86,810.14,,,,,,,,,,,,
275,15368,1491,7684.00,745.50,,,,,,,,,,,,
276,22887,2330,3814.50,388.33,,,,,,,,,,,,
277,7340,630,7340.00,630.00,,,,,,,,,,,,
278,28614,2395,5722.80,479.00,,,,,,,,,,,,
279,27058,2562,6764.50,640.50,,,,,,,,,,,,
280,13802,1052,4600.67,350.67,,,,,,,,,,,,
281,61436,5410,4725.85,416.15,,,,,,,,,,,,
282,10301,1425,3433.67,475.00,,,,,,,,,,,,
283,34189,3468,4884.14,495.43,,,,,,,,,,,,
284,17941,1512,3588.20,302.40,,,,,,,,,,,,
285,17904,1555,4476.00,388.75,,,,,,,,,,,,
286,49917,4858,4159.75,404.83,,,,,,,,,,,,
287,43575,4315,7262.50,719.17,,,,,,,,,,,,
288,8789,680,4394.50,340.00,,,,,,,,,,,,
289,27327,2356,6831.75,589.00,,,,,,,,,,,,
290,30677,2706,5112.83,451.00,,,,,,,,,,,,
291,14021,1309,7010.50,654.50,,,,,,,,,,,,
292,30682,3419,4383.14,488.43,,,,,,,,,,,,
293,32392,4130,6478.40,826.00,,,,,,,,,,,,
294,12511,1652,2502.20,330.40,,,,,,,,,,,,
295,25538,3326,3648.29,475.14,,,,,,,,,,,,
296,37650,3353,5378.57,479.00,,,,,,,,,,,,
297,35176,4280,5862.67,713.33,,,,,,,,,,,,
298,25094,2127,8364.67,709.00,,,,,,,,,,,,
299,28130,3677,7032.50,919.25,,,,,,,,,,,,
300,48239,5119,6029.88,639.88,,,,,,,,,,,,
301,24432,1315,4886.40,263.00,,,,,,,,,,,,
302,20765,1840,2595.63,230.00,,,,,,,,,,,,
303,36997,4006,4110.78,445.11,,,,,,,,,,,,
304,20035,2057,6678.33,685.67,,,,,,,,,,,,
305,4191,421,2095.50,210.50,,,,,,,,,,,,
307,16197,1754,3239.40,350.80,,,,,,,,,,,,
308,47095,5609,6727.86,801.29,,,,,,,,,,,,
309,46708,3090,7784.67,515.00,,,,,,,,,,,,
310,58347,4789,6483.00,532.11,,,,,,,,,,,,
311,51409,6185,6426.13,773.13,,,,,,,,,,,,
312,19763,1801,4940.75,450.25,,,,,,,,,,,,
313,18472,1965,4618.00,491.25,,,,,,,,,,,,
314,23356,2477,5839.00,619.25,,,,,,,,,,,,
315,10481,1022,5240.50,511.00,,,,,,,,,,,,
316,21278,933,7092.67,311.00,,,,,,,,,,,,
317,27875,3070,5575.00,614.00,,,,,,,,,,,,
318,29328,2497,7332.00,624.25,,,,,,,,,,,,
319,32619,3058,5436.50,509.67,,,,,,,,,,,,
320,25712,3747,12856.00,1873.50,,,,,,,,,,,,
321,52441,5223,5244.10,522.30,,,,,,,,,,,,
322,22022,1205,5505.50,301.25,,,,,,,,,,,,
323,63315,3460,9045.00,494.29,,,,,,,,,,,,
324,19667,3196,4916.75,799.00,,,,,,,,,,,,
325,41565,4586,5937.86,655.14,,,,,,,,,,,,
326,29207,2425,4867.83,404.17,,,,,,,,,,,,
327,37819,3758,6303.17,626.33,,,,,,,,,,,,
328,25355,2225,3169.38,278.13,,,,,,,,,,,,
329,36137,3295,6022.83,549.17,,,,,,,,,,,,
330,21135,1650,3019.29,235.71,,,,,,,,,,,,
331,28075,3842,7018.75,960.50,,,,,,,,,,,,
332,16005,1989,2286.43,284.14,,,,,,,,,,,,
333,39385,4082,6564.17,680.33,,,,,,,,,,,,
334,8045,957,2681.67,319.00,,,,,,,,,,,,
335,63920,12416,12784.00,2483.20,,,,,,,,,,,,
336,60179,8265,10029.83,1377.50,,,,,,,,,,,,
337,33431,2605,4178.88,325.63,,,,,,,,,,,,
338,22945,1839,4589.00,367.80,,,,,,,,,,,,
339,6317,698,1579.25,174.50,,,,,,,,,,,,
340,34506,3105,6901.20,621.00,,,,,,,,,,,,
341,49175,7041,5463.89,782.33,,,,,,,,,,,,
342,35960,1879,5993.33,313.17,,,,,,,,,,,,
343,26242,1888,5248.40,377.60,,,,,,,,,,,,
344,18627,2005,6209.00,668.33,,,,,,,,,,,,
345,10405,550,5202.50,275.00,,,,,,,,,,,,
346,30815,2672,5135.83,445.33,,,,,,,,,,,,
347,13893,1070,3473.25,267.50,,,,,,,,,,,,
348,48571,4118,6938.71,588.29,,,,,,,,,,,,
349,33907,3422,6781.40,684.40,,,,,,,,,,,,
350,56093,4223,6232.56,469.22,,,,,,,,,,,,
351,6256,536,1564.00,134.00,,,,,,,,,,,,
352,19460,1936,6486.67,645.33,,,,,,,,,,,,
353,29807,8027,4967.83,1337.83,,,,,,,,,,,,
354,39599,3099,9899.75,774.75,,,,,,,,,,,,
355,47397,7095,7899.50,1182.50,,,,,,,,,,,,
356,33454,2119,4779.14,302.71,,,,,,,,,,,,
357,42052,4735,7008.67,789.17,,,,,,,,,,,,
358,76457,8585,9557.13,1073.13,,,,,,,,,,,,
359,32797,2870,6559.40,574.00,,,,,,,,,,,,
360,37255,3943,7451.00,788.60,,,,,,,,,,,,
361,27639,3052,4606.50,508.67,,,,,,,,,,,,
362,25199,4338,4199.83,723.00,,,,,,,,,,,,
363,35411,3799,7082.20,759.80,,,,,,,,,,,,
364,3273,967,1636.50,483.50,,,,,,,,,,,,
365,26127,2939,4354.50,489.83,,,,,,,,,,,,
366,19532,1802,6510.67,600.67,,,,,,,,,,,,
367,21822,2633,3637.00,438.83,,,,,,,,,,,,
368,26193,1344,8731.00,448.00,,,,,,,,,,,,
369,35638,2271,5091.14,324.43,,,,,,,,,,,,
370,25849,2025,8616.33,675.00,,,,,,,,,,,,
371,28330,2187,5666.00,437.40,,,,,,,,,,,,
372,51618,3487,7374.00,498.14,,,,,,,,,,,,
373,6656,472,2218.67,157.33,,,,,,,,,,,,
374,39325,4132,4369.44,459.11,,,,,,,,,,,,
375,47548,5404,6792.57,772.00,,,,,,,,,,,,
376,33587,5109,3731.89,567.67,,,,,,,,,,,,
377,15819,1911,5273.00,637.00,,,,,,,,,,,,
378,43592,5552,5449.00,694.00,,,,,,,,,,,,
379,19219,2188,3843.80,437.60,,,,,,,,,,,,
380,113407,9036,14175.88,1129.50,,,,,,,,,,,,
381,21718,1016,10859.00,508.00,,,,,,,,,,,,
382,36461,2795,7292.20,559.00,,,,,,,,,,,,
383,71051,6644,17762.75,1661.00,,,,,,,,,,,,
384,13813,1819,4604.33,606.33,,,,,,,,,,,,
385,35158,2663,5022.57,380.43,,,,,,,,,,,,
386,22111,1270,7370.33,423.33,,,,,,,,,,,,
387,20984,5304,3497.33,884.00,,,,,,,,,,,,
388,29056,4651,7264.00,1162.75,,,,,,,,,,,,
389,22345,2554,11172.50,1277.00,,,,,,,,,,,,
390,49305,6369,7043.57,909.86,,,,,,,,,,,,
391,37360,3931,5337.14,561.57,,,,,,,,,,,,
392,26956,1764,5391.20,352.80,,,,,,,,,,,,
393,24206,3006,4034.33,501.00,,,,,,,,,,,,
394,30143,2284,6028.60,456.80,,,,,,,,,,,,
395,14963,1950,2992.60,390.00,,,,,,,,,,,,
396,27255,3550,5451.00,710.00,,,,,,,,,,,,
397,22903,3474,4580.60,694.80,,,,,,,,,,,,
398,42001,5113,3500.08,426.08,,,,,,,,,,,,
399,15183,1576,3795.75,394.00,,,,,,,,,,,,
400,53492,7768,7641.71,1109.71,,,,,,,,,,,,
401,67658,5823,7517.56,647.00,,,,,,,,,,,,
402,19857,2227,2836.71,318.14,,,,,,,,,,,,
403,47363,4877,5920.38,609.63,,,,,,,,,,,,
404,22569,2703,5642.25,675.75,,,,,,,,,,,,
405,21504,2733,3584.00,455.50,,,,,,,,,,,,
406,11662,890,5831.00,445.00,,,,,,,,,,,,
407,25569,2346,3196.13,293.25,,,,,,,,,,,,
408,34346,3495,3434.60,349.50,,,,,,,,,,,,
409,29689,2666,4948.17,444.33,,,,,,,,,,,,
410,20339,2740,5084.75,685.00,,,,,,,,,,,,
411,42236,2770,7039.33,461.67,,,,,,,,,,,,
412,46729,2892,5841.13,361.50,,,,,,,,,,,,
413,30728,3787,6145.60,757.40,,,,,,,,,,,,
414,8568,588,4284.00,294.00,,,,,,,,,,,,
415,22770,1668,7590.00,556.00,,,,,,,,,,,,
416,71066,8679,10152.29,1239.86,,,,,,,,,,,,
417,0,1307,0.00,653.50,,,,,,,,,,,,
418,18009,2047,4502.25,511.75,,,,,,,,,,,,
419,20589,3454,5147.25,863.50,,,,,,,,,,,,
420,19226,1734,3204.33,289.00,,,,,,,,,,,,
421,27229,2973,9076.33,991.00,,,,,,,,,,,,
422,13378,856,4459.33,285.33,,,,,,,,,,,,
423,49499,7099,9899.80,1419.80,,,,,,,,,,,,
424,22701,2454,5675.25,613.50,,,,,,,,,,,,
425,32151,4421,3215.10,442.10,,,,,,,,,,,,
426,14748,1941,4916.00,647.00,,,,,,,,,,,,
427,36556,3769,6092.67,628.17,,,,,,,,,,,,
428,32259,2510,4608.43,358.57,,,,,,,,,,,,
429,3571,353,3571.00,353.00,,,,,,,,,,,,
430,25948,2059,8649.33,686.33,,,,,,,,,,,,
431,48081,3096,8013.50,516.00,,,,,,,,,,,,
432,39409,3932,9852.25,983.00,,,,,,,,,,,,
433,21945,2513,5486.25,628.25,,,,,,,,,,,,
435,9010,1042,2252.50,260.50,,,,,,,,,,,,
436,37259,3068,4657.38,383.50,,,,,,,,,,,,
437,7470,710,3735.00,355.00,,,,,,,,,,,,
438,14208,1090,2841.60,218.00,,,,,,,,,,,,
439,56909,6207,5690.90,620.70,,,,,,,,,,,,
440,46333,4824,4212.09,438.55,,,,,,,,,,,,
441,23675,2723,5918.75,680.75,,,,,,,,,,,,
442,2971,362,1485.50,181.00,,,,,,,,,,,,
443,4995,465,1248.75,116.25,,,,,,,,,,,,
444,77775,8563,11110.71,1223.29,,,,,,,,,,,,
445,31783,4765,5297.17,794.17,,,,,,,,,,,,
446,23636,3528,3939.33,588.00,,,,,,,,,,,,
447,14527,2333,2905.40,466.60,,,,,,,,,,,,
448,58840,4706,8405.71,672.29,,,,,,,,,,,,
449,8955,2748,4477.50,1374.00,,,,,,,,,,,,
450,53610,6348,6701.25,793.50,,,,,,,,,,,,
451,22693,2568,4538.60,513.60,,,,,,,,,,,,
452,42889,3207,6127.00,458.14,,,,,,,,,,,,
453,31191,2942,6238.20,588.40,,,,,,,,,,,,
454,39320,4747,6553.33,791.17,,,,,,,,,,,,
455,36422,1864,6070.33,310.67,,,,,,,,,,,,
456,43103,6356,6157.57,908.00,,,,,,,,,,,,
457,13277,1128,4425.67,376.00,,,,,,,,,,,,
458,32769,2388,8192.25,597.00,,,,,,,,,,,,
459,49398,5163,6174.75,645.38,,,,,,,,,,,,
460,22123,2035,3160.43,290.71,,,,,,,,,,,,
461,20443,1959,3407.17,326.50,,,,,,,,,,,,
462,0,0,0.00,0.00,,,,,,,,,,,,
463,41415,5898,3765.00,536.18,,,,,,,,,,,,
464,27596,2222,6899.00,555.50,,,,,,,,,,,,
465,34907,2689,5817.83,448.17,,,,,,,,,,,,
466,18401,2867,3680.20,573.40,,,,,,,,,,,,
467,49993,4484,9998.60,896.80,,,,,,,,,,,,
468,23607,1874,4721.40,374.80,,,,,,,,,,,,
